User Name,Recency,Frequency,Monetary,Cluster,Segment
aaabell,111,3,11513.124,1,Medium Value
aaacree,202,1,94.9,0,Low Value
aaagin,278,2,1278.9,0,Low Value
aaallie,1,1,549.9,1,Medium Value
aaapperson,276,4,14160.9,0,Low Value
aaarant,192,1,183.33,1,Medium Value
aaashlock,278,4,19987.5,0,Low Value
aaaucoin,326,2,300.0,0,Low Value
aabanfield,155,2,800.0,1,Medium Value
aabarbera,277,3,6193.4800000000005,0,Low Value
aabartholomew,167,1,4000.0,1,Medium Value
aabass,110,45,69398.912,1,Medium Value
aabayerl,281,1,111.84,0,Low Value
aabeaver,154,1,100.0,1,Medium Value
aaberens,90,1,99.9,1,Medium Value
aabergen,144,3,391.20000000000005,1,Medium Value
aabevilacqua,159,18,11147.324,1,Medium Value
aabibler,309,4,1846.5,0,Low Value
aabohon,213,1,154.9,0,Low Value
aabowles,167,3,7200.0,1,Medium Value
aabrackin,365,1,215.0,0,Low Value
aabrantley,142,1,165.5,1,Medium Value
aabrunton,302,1,55.0,0,Low Value
aabuckingham,184,1,149.9,1,Medium Value
aabulter,159,2,1537.458,1,Medium Value
aabuske,155,4,950.0,1,Medium Value
aacarmouche,18,1,162.8,1,Medium Value
aachamberland,282,1,7416.7,0,Low Value
aachandler,281,1,89.8,0,Low Value
aachess,51,1,209.9,1,Medium Value
aacoble,278,2,153.615,0,Low Value
aaconnally,51,1,104.9,1,Medium Value
aacool,247,1,119.8,0,Low Value
aacorder,196,1,29.9,1,Medium Value
aacosentino,277,4,5434.8,0,Low Value
aacunniff,60,3,682.9,1,Medium Value
aadacus,98,5,9942.4,1,Medium Value
aadecaro,287,1,269.8,0,Low Value
aadedeaux,285,1,149.6,0,Low Value
aadefazio,342,1,0.0,0,Low Value
aadegroot,282,4,690.57,0,Low Value
aadelcid,315,1,89.9,0,Low Value
aademelo,208,5,2743.8,0,Low Value
aadermody,153,3,2200.0,1,Medium Value
aadesilva,167,1,1600.0,1,Medium Value
aadicarlo,313,3,321.3,0,Low Value
aadinan,310,2,341.9,0,Low Value
aadodds,155,1,50.0,1,Medium Value
aadrown,44,5,596.4,1,Medium Value
aaehlert,195,3,1500.0,1,Medium Value
aaelbert,135,1,1875.0,1,Medium Value
aafairfax,286,2,164.8,0,Low Value
aafouts,154,1,200.0,1,Medium Value
aafutch,299,3,1939.8,0,Low Value
aagabel,276,2,1250.1550000000002,0,Low Value
aagaul,288,2,539.4,0,Low Value
aagerman,211,6,2728.54,0,Low Value
aagoza,108,1,99.8,1,Medium Value
aagriggs,221,1,1465.0,0,Low Value
aaguerrero,354,2,114.0,0,Low Value
aagunnels,70,1,2489.9,1,Medium Value
aaguo,278,1,147.84,0,Low Value
aahageman,172,2,6000.0,1,Medium Value
aahallinan,323,1,1199.9,0,Low Value
aahaughton,198,10,24862.699999999997,1,Medium Value
aahenning,29,11,2559.2000000000003,1,Medium Value
aaheyward,169,5,8633.9,1,Medium Value
aahinz,279,2,1177.0,0,Low Value
aahuff,117,11,15936.68,1,Medium Value
aahufford,155,2,7334.5,1,Medium Value
aahwang,15,6,3374.8,1,Medium Value
aairwin,98,2,265.9,1,Medium Value
aajacobson,160,1,99.9,1,Medium Value
aajemison,179,1,2000.0,1,Medium Value
aakauffman,280,1,462.5,0,Low Value
aakeely,44,2,1746.7,1,Medium Value
aakelley,187,1,52.0,1,Medium Value
aakimbrough,119,1,64.8,1,Medium Value
aakincaid,184,5,17955.309999999998,1,Medium Value
aakirby,271,1,54.9,0,Low Value
aaklingbeil,178,2,144.0,1,Medium Value
aakort,61,2,216.3,1,Medium Value
aalampkin,168,2,800.0,1,Medium Value
aalapan,154,3,2400.0,1,Medium Value
aalattimore,285,5,1087.4600000000003,0,Low Value
aalattin,217,1,108.0,0,Low Value
aalichtenstein,364,1,149.9,0,Low Value
aalinville,181,2,0.0,1,Medium Value
aalisk,279,4,5070.810000000001,0,Low Value
aalolley,276,8,13273.8,0,Low Value
aalueras,285,1,129.9,0,Low Value
aamalone,321,1,72.2,0,Low Value
aamandujano,220,1,39.4,0,Low Value
aamaston,154,2,300.0,1,Medium Value
aamatherne,167,4,4528.040000000001,1,Medium Value
aamatthew,277,1,99.9,0,Low Value
aamccann,277,5,6013.9,0,Low Value
aamcclaine,168,1,500.0,1,Medium Value
aamccraney,169,2,3649.4,1,Medium Value
aamccree,356,1,712.5,0,Low Value
aamcquade,323,1,199.5,0,Low Value
aamcwhirter,224,1,191.9,0,Low Value
aamcwhorter,112,16,10730.37,1,Medium Value
aamelia,195,1,300.0,1,Medium Value
aamendes,51,1,49.9,1,Medium Value
aamigues,130,1,366.6,1,Medium Value
aamillion,278,1,198.0,0,Low Value
aamillwood,156,1,1000.0,1,Medium Value
aamoylan,277,1,900.0,0,Low Value
aamulcahy,92,3,700.2,1,Medium Value
aamurtha,292,1,2989.8,0,Low Value
aamuth,323,1,1772.6999999999998,0,Low Value
aanaranjo,130,2,1065.5,1,Medium Value
aaneher,275,1,59.8,0,Low Value
aanishimura,159,7,5478.46,1,Medium Value
aaodum,303,1,19.5,0,Low Value
aaornellas,345,1,31.5,0,Low Value
aaosby,187,1,279.9,1,Medium Value
aapaden,47,2,3164.0,1,Medium Value
aapaschke,278,2,370.0,0,Low Value
aapatten,265,1,43.0,0,Low Value
aapavlik,84,1,49.9,1,Medium Value
aapeppers,266,1,422.70000000000005,0,Low Value
aaperham,154,8,1562.2,1,Medium Value
aaperry,362,1,110.0,0,Low Value
aaplasencia,92,1,75.99000000000001,1,Medium Value
aaprzybylski,284,2,197.46000000000004,0,Low Value
aarainwater,335,2,394.825,0,Low Value
aaratcliff,283,2,184.70000000000002,0,Low Value
aareger,315,3,453.8,0,Low Value
aaregnier,294,1,25.6,0,Low Value
aarodarte,67,1,0.0,1,Medium Value
aaromaine,285,1,723.4,0,Low Value
aaruble,167,1,149.6,1,Medium Value
aasabb,253,3,381.51,0,Low Value
aasandefur,154,2,300.0,1,Medium Value
aashields,354,1,119.9,0,Low Value
aashockley,323,1,1899.9,0,Low Value
aashuttleworth,284,1,9484.4,0,Low Value
aasimon,281,6,3308.5,0,Low Value
aasisemore,160,1,132.0,1,Medium Value
aasmythe,66,1,24.9,1,Medium Value
aasnively,167,5,6800.0,1,Medium Value
aastates,272,2,1374.0,0,Low Value
aastelzer,9,5,6939.3,1,Medium Value
aastephenson,62,4,37543.8,1,Medium Value
aastrothers,41,2,283.3,1,Medium Value
aastroud,239,1,243.75,0,Low Value
aasutton,165,1,95.0,1,Medium Value
aasynder,278,4,5050.18,0,Low Value
aatafoya,102,1,133.425,1,Medium Value
aatakacs,9,1,3589.9,1,Medium Value
aatempleton,53,1,199.8,1,Medium Value
aatiano,154,1,250.0,1,Medium Value
aatrimm,285,1,132.0,0,Low Value
aatroncoso,192,2,1600.0,1,Medium Value
aatrosper,138,2,139.7,1,Medium Value
aatyson,17,1,94.428,1,Medium Value
aauchida,14,4,513.65,1,Medium Value
aavangilder,298,3,5378.400000000001,0,Low Value
aavanvalkenburg,179,3,879.0,1,Medium Value
aavigue,280,1,89.5,0,Low Value
aavillasenor,100,3,2627.1279999999997,1,Medium Value
aavito,315,3,2150.3,0,Low Value
aavoyles,93,1,60.0,1,Medium Value
aawaid,323,2,6060.0,0,Low Value
aawarnock,279,5,21122.1,0,Low Value
aawetherby,167,4,2960.0,1,Medium Value
aawetzel,33,5,7703.700000000001,1,Medium Value
aawhitmire,88,1,192.3,1,Medium Value
aawinston,104,1,0.0,1,Medium Value
aayardley,154,2,300.0,1,Medium Value
aazak,290,1,24.3,0,Low Value
aazeitler,281,1,69.9,0,Low Value
abandino,264,1,131.9,0,Low Value
abarchibald,194,1,0.0,1,Medium Value
abarmbruster,222,1,89.9,0,Low Value
abarnette,172,2,800.0,1,Medium Value
abarzola,265,5,2875.55,0,Low Value
abbalas,107,18,50973.998,1,Medium Value
abbancroft,291,2,177.8,0,Low Value
abbarrie,156,1,200.0,1,Medium Value
abbattista,155,2,150.0,1,Medium Value
abbenes,154,3,1000.0,1,Medium Value
abberning,243,1,49.9,0,Low Value
abbeverly,184,2,10310.4,1,Medium Value
abbixby,173,1,52.0,1,Medium Value
abblackwood,153,6,2150.0,1,Medium Value
abblosser,185,1,52.0,1,Medium Value
abborba,157,2,0.0,1,Medium Value
abbourdeau,155,1,500.0,1,Medium Value
abbowman,285,7,10071.4,0,Low Value
abbradberry,178,4,5509.0,1,Medium Value
abbrand,67,6,2953.7000000000003,1,Medium Value
abbroman,101,1,169.6,1,Medium Value
abcabana,300,1,14.9,0,Low Value
abcahill,136,1,6089.5,1,Medium Value
abcaprio,322,1,339.9,0,Low Value
abcarlson,136,1,69.9,1,Medium Value
abcasselman,154,1,100.0,1,Medium Value
abchouinard,279,1,1255.1,0,Low Value
abclontz,112,4,7770.0,1,Medium Value
abclopton,210,12,5099.3,1,Medium Value
abcoburn,36,4,5591.118,1,Medium Value
abcochran,182,6,523.5,1,Medium Value
abcoffey,223,1,130.0,0,Low Value
abcollazo,278,10,7551.5,0,Low Value
abcopes,278,1,49.9,0,Low Value
abcorp,186,2,362.35,1,Medium Value
abcraft,279,1,109.9,0,Low Value
abcroteau,114,2,289.8,1,Medium Value
abdahms,167,2,0.0,1,Medium Value
abdelvalle,43,3,366.53000000000003,1,Medium Value
abdevane,271,1,128.9,0,Low Value
abdewall,188,1,144.0,1,Medium Value
abdrakes,276,1,69.9,0,Low Value
abduffield,283,1,843.2,0,Low Value
abduong,182,4,332.15,1,Medium Value
abedgington,96,1,148.9,1,Medium Value
abelzey,167,4,11943.36,1,Medium Value
aberskine,280,3,891.525,0,Low Value
abfairchild,156,1,3000.0,1,Medium Value
abfaith,305,1,120.0,0,Low Value
abfernando,355,1,250.0,0,Low Value
abfontenot,285,1,89.9,0,Low Value
abfriley,33,1,59.415000000000006,1,Medium Value
abfuhr,275,6,1462.7849999999999,0,Low Value
abgaeta,167,2,1600.0,1,Medium Value
abganz,158,2,244.4,1,Medium Value
abgholson,58,1,1029.9,1,Medium Value
abgillingham,167,1,400.0,1,Medium Value
abgodbout,276,4,4635.24,0,Low Value
abgonyea,299,1,179.8,0,Low Value
abgrajeda,278,1,49.8,0,Low Value
abgrijalva,284,1,99.6,0,Low Value
abgrissom,154,1,450.0,1,Medium Value
abgritton,275,8,5964.075,0,Low Value
abhaas,155,2,300.0,1,Medium Value
abhalbert,12,3,430.5,1,Medium Value
abhallenbeck,315,3,1800.0,0,Low Value
abhanscom,43,7,98099.09999999999,1,Medium Value
abhashimoto,112,1,1249.9,1,Medium Value
